Time;win_disk(N);win_cpu(%);Labels
2020-04-02T17:24:00+02:00;10938,8;87,02;0
2020-04-02T17:24:05+02:00;10938,8;87,05;0
2020-04-02T17:24:10+02:00;11560,91;87,05;0
2020-04-02T17:24:15+02:00;11560,91;87,19;0
2020-04-02T17:24:20+02:00;12172,39;87,19;0
2020-04-02T17:24:25+02:00;12172,39;87,31;0
2020-04-02T17:24:30+02:00;12178,35;87,31;0
2020-04-02T17:24:35+02:00;12178,35;87,32;0
2020-04-02T17:24:40+02:00;12249,99;87,32;0
2020-04-02T17:24:45+02:00;12249,99;87,35;0
2020-04-02T17:24:50+02:00;12497,52;87,35;0
2020-04-02T17:24:55+02:00;12497,52;87,39;0
2020-04-02T17:25:40+02:00;12499,89;87,95;0
2020-04-02T17:25:45+02:00;12499,89;87,96;0
2020-04-02T17:25:50+02:00;12500,18;87,96;0
2020-04-02T17:25:55+02:00;12500,18;88,07;0
2020-04-02T17:26:00+02:00;12500,93;88,07;0
2020-04-02T17:26:05+02:00;12500,93;88,09;0
2020-04-02T17:26:10+02:00;12501,06;88,09;0
2020-04-02T17:26:15+02:00;12501,06;88,26;0
2020-04-02T17:26:20+02:00;12501,2;88,26;0
2020-04-02T17:26:25+02:00;12501,2;88,3;0
2020-04-02T17:26:30+02:00;12501,58;88,3;0
2020-04-02T17:26:35+02:00;12501,58;88,39;0
2020-04-02T17:26:40+02:00;12502,04;88,39;0
2020-04-02T17:26:45+02:00;12502,04;88,5;0
2020-04-02T17:26:50+02:00;12511,98;88,5;0
2020-04-02T17:26:55+02:00;12511,98;88,63;0
2020-04-02T17:27:00+02:00;13922,87;88,63;0
2020-04-02T17:27:05+02:00;13922,87;88,95;0
2020-04-02T17:27:40+02:00;13991,47;88,95;0
2020-04-02T17:27:45+02:00;13991,47;88,98;0
2020-04-02T17:27:50+02:00;14053,35;88,98;0
2020-04-02T17:27:55+02:00;14053,35;89,39;0
2020-04-02T17:28:40+02:00;14061,34;89,86;0
2020-04-02T17:28:45+02:00;14061,34;89,9;0
2020-04-02T17:28:50+02:00;14062,39;89,9;0
2020-04-02T17:28:55+02:00;14062,39;90,05;0
2020-04-02T17:29:10+02:00;14063,62;90,05;0
2020-04-02T17:29:15+02:00;14063,62;90,06;0
2020-04-02T17:30:10+02:00;14063,74;90,06;0
2020-04-02T17:30:15+02:00;14063,74;90,12;0
2020-04-02T17:30:20+02:00;14063,91;90,12;0
2020-04-02T17:30:25+02:00;14063,91;90,4;0
2020-04-02T17:33:20+02:00;14064,79;90,4;0
2020-04-02T17:33:25+02:00;14064,79;91,03;0
2020-04-02T17:33:40+02:00;14065,14;91,03;0
2020-04-02T17:33:45+02:00;14065,14;91,67;0
2020-04-02T17:36:50+02:00;15445,54;91,67;0
2020-04-02T17:36:55+02:00;15445,54;92,09;0
2020-04-02T17:43:40+02:00;15524,76;92,09;0
2020-04-02T17:43:45+02:00;15524,76;92,29;0
2020-04-02T17:43:50+02:00;15526,25;92,29;0
2020-04-02T17:43:55+02:00;15526,25;92,79;0
2020-04-02T17:44:20+02:00;15534,04;92,79;0
2020-04-02T17:44:25+02:00;15534,04;92,84;0
2020-04-02T17:46:55+02:00;15561,01;93,26;0
2020-04-02T17:49:50+02:00;15569,08;93,26;0
2020-04-02T17:49:55+02:00;15569,08;93,5;0
2020-04-02T17:51:30+02:00;15576,06;93,5;0
2020-04-02T17:51:35+02:00;15576,06;93,62;0
2020-04-02T17:54:30+02:00;15576,79;93,62;0
2020-04-02T17:54:35+02:00;15576,79;93,64;0
2020-04-02T17:57:20+02:00;15626,25;93,64;0
2020-04-02T17:57:25+02:00;15626,25;94,3;0
2020-04-02T17:57:30+02:00;15626,8;94,37;0
2020-04-02T17:57:35+02:00;15626,8;94,37;0
2020-04-02T17:59:20+02:00;15650,68;94,4;0
2020-04-02T17:59:25+02:00;15650,68;94,4;0
2020-04-02T18:01:50+02:00;15650,87;94,8;0
2020-04-02T18:01:55+02:00;15650,87;94,8;0
2020-04-02T18:02:40+02:00;15659,34;95,12;0
2020-04-02T18:02:45+02:00;15659,34;95,12;100
