Series;Time;Value;
mysql_mysql.mean;2020-02-26T12:14:34+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:34+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:35+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:35+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:36+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:36+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:37+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:37+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:38+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:38+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:39+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:39+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:40+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:40+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:41+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:41+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:42+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:42+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:43+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:43+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:44+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:44+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:45+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:45+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:46+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:46+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:47+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:47+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:48+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:48+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:49+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:49+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:50+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:50+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:51+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:51+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:52+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:52+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:53+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:53+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:54+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:54+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:55+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:55+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:56+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:56+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:57+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:57+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:58+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:58+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:59+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:59+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:15:00+01:00;547;-1
mysql_mysql.mean;2020-02-26T12:15:00+01:00;551.6;-1
mysql_mysql.mean;2020-02-26T12:15:01+01:00;556.2;-1
mysql_mysql.mean;2020-02-26T12:15:01+01:00;560.8;-1
mysql_mysql.mean;2020-02-26T12:15:02+01:00;565.4;-1
mysql_mysql.mean;2020-02-26T12:15:02+01:00;570;-1
mysql_mysql.mean;2020-02-26T12:15:03+01:00;574.6;-1
mysql_mysql.mean;2020-02-26T12:15:03+01:00;579.2;-1
mysql_mysql.mean;2020-02-26T12:15:04+01:00;583.8;-1
mysql_mysql.mean;2020-02-26T12:15:04+01:00;588.4;-1
mysql_mysql.mean;2020-02-26T12:15:05+01:00;593;-1
mysql_mysql.mean;2020-02-26T12:15:05+01:00;597.6;-1
mysql_mysql.mean;2020-02-26T12:15:06+01:00;602.2;-1
mysql_mysql.mean;2020-02-26T12:15:06+01:00;606.8;-1
mysql_mysql.mean;2020-02-26T12:15:07+01:00;611.4;-1
mysql_mysql.mean;2020-02-26T12:15:07+01:00;616;-1
mysql_mysql.mean;2020-02-26T12:15:08+01:00;620.6;-1
mysql_mysql.mean;2020-02-26T12:15:08+01:00;625.2;-1
mysql_mysql.mean;2020-02-26T12:15:09+01:00;629.8;-1
mysql_mysql.mean;2020-02-26T12:15:09+01:00;634.4;-1
mysql_mysql.mean;2020-02-26T12:15:10+01:00;639;-1
mysql_mysql.mean;2020-02-26T12:15:10+01:00;643.6;-1
mysql_mysql.mean;2020-02-26T12:15:11+01:00;648.2;-1
mysql_mysql.mean;2020-02-26T12:15:11+01:00;652.8;-1
mysql_mysql.mean;2020-02-26T12:15:12+01:00;657.4;-1
mysql_mysql.mean;2020-02-26T12:15:12+01:00;662;-1
mysql_mysql.mean;2020-02-26T12:15:13+01:00;666.6;-1
mysql_mysql.mean;2020-02-26T12:15:13+01:00;671.2;-1
mysql_mysql.mean;2020-02-26T12:15:14+01:00;675.8;-1
mysql_mysql.mean;2020-02-26T12:15:14+01:00;680.4;-1
mysql_mysql.mean;2020-02-26T12:15:15+01:00;685;-1
mysql_mysql.mean;2020-02-26T12:15:15+01:00;689.6;-1
mysql_mysql.mean;2020-02-26T12:15:16+01:00;694.2;-1
mysql_mysql.mean;2020-02-26T12:15:16+01:00;698.8;-1
mysql_mysql.mean;2020-02-26T12:15:17+01:00;703.4;-1
mysql_mysql.mean;2020-02-26T12:15:17+01:00;708;-1
mysql_mysql.mean;2020-02-26T12:15:18+01:00;712.6;-1
mysql_mysql.mean;2020-02-26T12:15:18+01:00;717.2;-1
mysql_mysql.mean;2020-02-26T12:15:19+01:00;721.8;-1
mysql_mysql.mean;2020-02-26T12:15:19+01:00;726.4;-1
mysql_mysql.mean;2020-02-26T12:15:20+01:00;731;-1
mysql_mysql.mean;2020-02-26T12:15:20+01:00;735.6;-1
mysql_mysql.mean;2020-02-26T12:15:21+01:00;740.2;-1
mysql_mysql.mean;2020-02-26T12:15:21+01:00;744.8;-1
mysql_mysql.mean;2020-02-26T12:15:22+01:00;749.4;-1
mysql_mysql.mean;2020-02-26T12:15:22+01:00;754;-1
mysql_mysql.mean;2020-02-26T12:15:23+01:00;758.6;-1
mysql_mysql.mean;2020-02-26T12:15:23+01:00;763.2;-1
mysql_mysql.mean;2020-02-26T12:15:24+01:00;767.8;-1
mysql_mysql.mean;2020-02-26T12:15:24+01:00;772.4;-1
mysql_mysql.mean;2020-02-26T12:15:25+01:00;777;-1
mysql_mysql.mean;2020-02-26T12:15:25+01:00;781.6;-1
mysql_mysql.mean;2020-02-26T12:15:26+01:00;786.2;-1
mysql_mysql.mean;2020-02-26T12:15:26+01:00;790.8;-1
mysql_mysql.mean;2020-02-26T12:15:27+01:00;795.4;-1
mysql_mysql.mean;2020-02-26T12:15:27+01:00;800;-1
mysql_mysql.mean;2020-02-26T12:15:28+01:00;804.6;-1
mysql_mysql.mean;2020-02-26T12:15:28+01:00;809.2;-1
mysql_mysql.mean;2020-02-26T12:15:29+01:00;813.8;-1
mysql_mysql.mean;2020-02-26T12:15:29+01:00;818.4;-1
mysql_mysql.mean;2020-02-26T12:15:30+01:00;823;-1
mysql_mysql.mean;2020-02-26T12:15:30+01:00;827.6;-1
mysql_mysql.mean;2020-02-26T12:15:31+01:00;832.2;-1
mysql_mysql.mean;2020-02-26T12:15:31+01:00;836.8;-1
mysql_mysql.mean;2020-02-26T12:15:32+01:00;841.4;-1
mysql_mysql.mean;2020-02-26T12:15:32+01:00;846;-1
mysql_mysql.mean;2020-02-26T12:15:33+01:00;850.6;-1
mysql_mysql.mean;2020-02-26T12:15:33+01:00;855.2;-1
mysql_mysql.mean;2020-02-26T12:15:34+01:00;859.8;-1
mysql_mysql.mean;2020-02-26T12:15:34+01:00;864.4;-1
mysql_mysql.mean;2020-02-26T12:15:35+01:00;869;-1
mysql_mysql.mean;2020-02-26T12:15:35+01:00;873.6;-1
mysql_mysql.mean;2020-02-26T12:15:36+01:00;878.2;-1
mysql_mysql.mean;2020-02-26T12:15:36+01:00;882.8;-1
mysql_mysql.mean;2020-02-26T12:15:37+01:00;887.4;-1
mysql_mysql.mean;2020-02-26T12:15:37+01:00;892;-1
mysql_mysql.mean;2020-02-26T12:15:38+01:00;896.6;-1
mysql_mysql.mean;2020-02-26T12:15:38+01:00;901.2;-1
