Series;Time;Value;Labels;;
mysql_mysql.mean;2020-02-22T17:54:16+01:00;1573.2;-1;;
mysql_mysql.mean;2020-02-22T17:54:16+01:00;1575.04;1;;
mysql_mysql.mean;2020-02-22T17:54:16+01:00;1576.88;1;;
mysql_mysql.mean;2020-02-22T17:54:16+01:00;1578.72;1;;
mysql_mysql.mean;2020-02-22T17:54:16+01:00;1580.56;-1;;
mysql_mysql.mean;2020-02-22T17:54:17+01:00;1582.4;-1;;
mysql_mysql.mean;2020-02-22T17:54:17+01:00;1584.24;-1;;
mysql_mysql.mean;2020-02-22T17:54:17+01:00;1586.08;-1;;
mysql_mysql.mean;2020-02-22T17:54:17+01:00;1587.92;1;;
mysql_mysql.mean;2020-02-22T17:54:17+01:00;1589.76;-1;;
mysql_mysql.mean;2020-02-22T17:54:18+01:00;1591.6;1;;
mysql_mysql.mean;2020-02-22T17:54:18+01:00;1593.44;-1;;
mysql_mysql.mean;2020-02-22T17:54:18+01:00;1595.28;-1;;
mysql_mysql.mean;2020-02-22T17:54:18+01:00;1597.12;-1;;
